date,cases,deaths
2019-12-31,1,0
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,2,0
2020-01-04,0,0
2020-01-05,1,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,1,0
2020-01-10,1,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,1,0
2020-01-14,3,0
2020-01-15,1,0
2020-01-16,2,0
2020-01-17,3,0
2020-01-18,2,0
2020-01-19,4,0
2020-01-20,5,0
2020-01-21,5,0
2020-01-22,4,0
2020-01-23,9,0
2020-01-24,8,0
2020-01-25,6,0
2020-01-26,2,0
2020-01-27,3,0
2020-01-28,3,0
2020-01-29,4,0
2020-01-30,4,0
2020-01-31,1,0
2020-02-01,0,1
